lnc_id	pc_id	pearson_r	pearson_pval	spearman_rho	spearman_pval	lnc_expr_samples	pc_expr_samples
TCONS_00004097	AT1G61550.1	-0.808061584	0.051724994	-0.6	0.208	6	6
TCONS_00004097	AT1G63480.6	0.936133315	0.005988175	0.885714286	0.018845481	6	5
TCONS_00004097	AT1G63480.5	0.103439811	0.845393675	-0.142857143	0.787172012	6	6
TCONS_00004097	AT1G72260.1	-0.50310017	0.309019532	-0.542857143	0.265702624	6	6
TCONS_00004097	AT2G28460.1	0.886454728	0.01860685	0.828571429	0.041562682	6	6
TCONS_00004097	AT2G28720.1	0.985100817	0.000331325	0.942857143	0.004804665	6	6
TCONS_00004097	AT2G30600.5	0.768823762	0.073986367	0.885714286	0.018845481	6	6
TCONS_00004097	AT2G30600.1	0.613283781	0.195407555	0.542857143	0.265702624	6	5
TCONS_00004097	AT2G30600.6	0.981337674	0.000519174	1	0	6	6
TCONS_00004097	AT2G30930.1	0.795425029	0.058495553	0.714285714	0.110787172	6	6
TCONS_00004097	AT2G40980.1	-0.547314645	0.261002992	-0.371428571	0.468478134	6	5
TCONS_00004097	AT2G45650.1	-0.426659012	0.398845539	-0.714285714	0.110787172	6	6
TCONS_00004097	AT2G47780.1	-0.873919468	0.022842344	-0.828571429	0.041562682	6	6
TCONS_00004097	AT2G04160.1	0.839131198	0.036736614	0.542857143	0.265702624	6	6
TCONS_00004097	AT2G23170.1	-0.766841978	0.075206449	-0.942857143	0.004804665	6	6
TCONS_00004097	AT2G30540.1	-0.951860421	0.003420349	-0.942857143	0.004804665	6	6
TCONS_00004097	AT2G40170.1	-0.752768159	0.084129527	-1	0	6	6
TCONS_00004097	AT2G45560.1	0.939576827	0.005366138	0.771428571	0.072396501	6	6
TCONS_00004097	AT3G13960.1	-0.373948697	0.465223004	-0.6	0.208	6	4
TCONS_00004097	AT3G14570.1	-0.321294551	0.534641823	-0.542857143	0.265702624	6	4
TCONS_00004097	AT3G14570.2	-0.395186178	0.438079264	0.028571429	0.957154519	6	6
TCONS_00004097	AT3G17690.2	-0.2559884	0.624404868	-0.144942759	0.78410837	6	4
TCONS_00004097	AT3G17690.1	-0.81042375	0.050502127	-0.714285714	0.110787172	6	6
TCONS_00004097	AT3G19960.3	0.313179522	0.545589262	0.085714286	0.87174344	6	6
TCONS_00004097	AT3G19960.2	0.879408528	0.020936616	0.985610761	0.000309086	6	4
TCONS_00004097	AT3G19960.1	0.940099289	0.005274678	0.6	0.208	6	4
TCONS_00004097	AT3G25950.1	0.885019593	0.019070692	0.6	0.208	6	6
TCONS_00004097	AT3G50930.1	-0.894755425	0.016031764	-0.942857143	0.004804665	6	6
TCONS_00004097	AT3G62550.1	0.78528654	0.064203459	0.657142857	0.156174927	6	6
TCONS_00004097	AT3G10180.2	-0.926155877	0.007978097	-0.714285714	0.110787172	6	6
TCONS_00004097	AT3G14172.3	0.974921915	0.00093548	0.771428571	0.072396501	6	6
TCONS_00004097	AT3G15670.1	-0.744041821	0.089887387	-0.828571429	0.041562682	6	6
TCONS_00004097	AT3G19030.1	-0.924491826	0.008336972	-0.942857143	0.004804665	6	6
TCONS_00004097	AT3G21550.1	0.724722325	0.10323673	0.657142857	0.156174927	6	6
TCONS_00004097	AT3G22640.1	-0.706239251	0.116767969	-0.942857143	0.004804665	6	6
TCONS_00004097	AT3G25570.2	-0.797086715	0.057583346	-0.724713795	0.103242805	6	4
TCONS_00004097	AT3G25570.1	-0.761290908	0.078671982	-0.657142857	0.156174927	6	6
TCONS_00004097	AT3G26860.2	-0.936705694	0.00588247	-0.885714286	0.018845481	6	6
TCONS_00004097	AT3G47160.1	0.930755807	0.007026133	0.828571429	0.041562682	6	6
TCONS_00004097	AT3G47160.3	0.903606306	0.013489784	0.885714286	0.018845481	6	6
TCONS_00004097	AT3G51400.1	0.961453808	0.002200077	0.942857143	0.004804665	6	6
TCONS_00004097	AT3G60900.1	-0.421483718	0.405212403	-0.714285714	0.110787172	6	6
TCONS_00004097	AT3G62160.1	0.782455768	0.065840545	0.657142857	0.156174927	6	6
TCONS_00004097	AT4G00230.1	0.813788578	0.048783628	0.657142857	0.156174927	6	6
TCONS_00004097	AT4G00230.2	0.533498651	0.275674433	0.542857143	0.265702624	6	6
TCONS_00004097	AT4G12890.1	-0.465729049	0.351915568	-0.771428571	0.072396501	6	5
TCONS_00004097	AT4G12960.1	-0.480378593	0.334859056	-0.6	0.208	6	6
TCONS_00004097	AT4G27860.2	-0.160112621	0.761883396	0.142857143	0.787172012	6	6
TCONS_00004097	AT4G27860.1	-0.518690159	0.291738827	-0.714285714	0.110787172	6	6
TCONS_00004097	AT4G27860.4	-0.691167988	0.128338049	-0.542857143	0.265702624	6	6
TCONS_00004097	AT4G37730.1	-0.939080208	0.005453788	-0.771428571	0.072396501	6	6
TCONS_00004097	AT4G10420.1	-0.840540689	0.0361136	-0.771428571	0.072396501	6	6
TCONS_00004097	AT4G18550.3	-0.30829482	0.552208818	-0.371428571	0.468478134	6	5
TCONS_00004097	AT4G18550.1	0.813564141	0.048897395	0.657142857	0.156174927	6	6
TCONS_00004097	AT4G19430.1	0.882560378	0.01987823	0.714285714	0.110787172	6	6
TCONS_00004097	AT4G20040.1	-0.762080847	0.078174516	-0.714285714	0.110787172	6	6
TCONS_00004097	AT4G20050.2	0.703967853	0.118481155	0.49280538	0.320632583	6	4
TCONS_00004097	AT4G20050.7	-0.314803631	0.543393282	0.085714286	0.87174344	6	4
TCONS_00004097	AT4G21630.1	-0.445993723	0.375365811	-0.714285714	0.110787172	6	4
TCONS_00004097	AT4G25000.1	0.711324038	0.112972482	0.542857143	0.265702624	6	6
TCONS_00004097	AT4G26590.1	-0.423896571	0.402239771	-0.6	0.208	6	6
TCONS_00004097	AT4G29880.1	-0.881845565	0.02011596	-0.771428571	0.072396501	6	6
TCONS_00004097	AT4G31240.2	0.875809205	0.022177311	0.771428571	0.072396501	6	6
TCONS_00004097	AT5G03510.1	0.815151248	0.048095538	0.657142857	0.156174927	6	6
TCONS_00004097	AT5G03790.1	-0.600336531	0.207677032	-0.714285714	0.110787172	6	6
TCONS_00004097	AT5G04080.3	0.372114535	0.467591403	0.31887407	0.53790056	6	4
TCONS_00004097	AT5G04080.2	-0.775284342	0.070071943	-0.724713795	0.103242805	6	4
TCONS_00004097	AT5G04080.1	-0.855101848	0.029972109	-0.714285714	0.110787172	6	6
TCONS_00004097	AT5G07660.1	0.864545665	0.026279166	0.828571429	0.041562682	6	6
TCONS_00004097	AT5G11900.1	0.829411338	0.04116863	0.657142857	0.156174927	6	6
TCONS_00004097	AT5G14740.9	-0.792261389	0.060250482	-0.828571429	0.041562682	6	6
TCONS_00004097	AT5G20250.2	0.458166133	0.360839048	0.428571429	0.396501458	6	6
TCONS_00004097	AT5G20250.1	0.581180349	0.226382294	0.724713795	0.103242805	6	4
TCONS_00004097	AT5G20250.4	0.725674695	0.10255947	0.657142857	0.156174927	6	6
TCONS_00004097	AT5G20250.3	0.638034874	0.172816019	0.637748139	0.17307111	6	4
TCONS_00004097	AT5G38930.1	-0.800165007	0.055910929	-0.714285714	0.110787172	6	6
